,comment,sentiment
28,"lovely miss something major : student ’ actually care content . want passing grade move . wonderful stuff assumes student want go journey curious willing collaborate ai explore . none true majority . kid apathetic subject and/or care grade ( pressure parent get college ) . student want hard work . want shortcut , thinking .",1
29,one best ted talk seen . turn bloom ’ 2 sigma problem 2 sigma opportunity . one way facilitate socratic debate . combine knowledgeable 1-on-one tutor 4 step ahead rest . using curated ai good start .,1
30,going link school leadership team get school adopt ai education .,1
31,"current education model failed , 's incentive rescue career staff .",1
32,"ai education enhances learning personalizing instruction , automating administrative task , providing real-time feedback student . help tailor content individual need , making education accessible efficient . additionally , ai tool assist teacher grading identifying learning gap , allowing targeted support .",1
33,wait till student watch video prompt inject,0
34,tell ai people heard people .... hear `` guardrail '' one time ! ! !,0
35,"education learning something new school . arrival ai pointed flaw school system thus end school education . school repetitive , luck centric dated system designed industrial age produce factory work !",1
36,n't watch video need talk ai saving ( destroying ) education ai taking many job student learning ?,0
37,khanmigo made available europe ?,0
38,1. student would use ai cheat pas homeworks/tests get replaced ai 2. belive ai would significantly change history,0
39,’ cool hearing voice explains math giving ted talk,1
40,ai make teacher mentor . simple,0
41,mr khan 's speech undoubtedly inspire people use ai educational innovation .,1
42,fascinating revolutionize education one student time . available india ?,1
43,ai used create better democracy . imagine unbiased judging system could analyze every idea people may . identify many problem people facing address problem starting majority people problem . ’ perfect idea . someone need come ai software,1
44,"free candy , mean , free open source ai everyone . cease ai….or else .",1
45,lecturer dumb . whole point education understand learn new thing better . ai make u understand better school see problem would use ai .,1
46,"hey maggie , like variety item playlist . especially enjoyed ted talk video ai could help classroom . good diversity among video different viewpoint style . overall , information seems credible information . thank sharing list .",1
47,teacher ela ’ cusp .. guess citation ai mentioned student supported khanamigo- love ask reasoning still suggesting change writing - whose original work ?,1
48,exciting still wonder line plagiarism writing amigo suggesting improvement student used need voted ( supported khan amigo ai ) ? original draft student suggested ai change still student work ?,1
49,love ! 've educator 20 year huge ai fan . believe opposed n't understand utilize . powerful tool enhance education immensely .,1
50,"teacher , keep optimistic outlook ai educational system . hope keep learning combine good tool like chatgpt traditional teaching help student grow better .",1
51,leftist propaganda . want kid learning damn ai chatbot . 's failure government train qualified teacher .,1
52,"man great . champion decentralization education , hopefully reducing importance `` politician '' profession overpaid . ai interesting , long learns basing culture , see feed culture kindness , clarity die showing hate anger ai . let 's hope ai embody sort karma sense : would feed kindness , destroyed . , helped . thanks video",1
53,"problem making employer accept certificate online tutorial . good taking time course like , example , three hour youtube tutorial python coding language , employer wo n't accept employment ... live employment world employer want five year experience coding language 's 3 year . broken education system , also huge problem employer . people hiring think 're god , n't even know people , making decision often plain old wrong ....",1
54,"video offer insightful forward-thinking perspective integration ai education . incorporated khan academy curriculum , finding immense value tool like century tech & magic student magic school . platform instrumental providing hyper-personalised learning experience cater unique need student . concept mitigating risk associated ai , presented video , aligns perfectly approach . ensure leveraging technology , maintain integrity learning process . idea providing every student personal ai tutor revolutionary address ‘ 2 sigma problem ’ modern twist .",1
55,"however , result would turn average growth , multiplying interference nature society , exceptional growth impact . ai much better helping people understand nature , faster 's given power thing need work , wo n't useful u .",1
56,"first , thought introduction artificial intelligence education could threaten teacher ' job , watching lecture , changed mind . believe ai potential form complementary relationship teacher , rather simply replacing human job . addition , impressive ai go beyond simple information delivery lead learning collaborating student .",1
57,"vouch , use khan academy ai bot school learn concept 's absolutely transformative . 'm someone absorb concept reading textbook . math concept least . get problem ask chat bot one go solving help understand concept n't understand drill , say example negative exponent positive odd exponent negative even exponent expound far want go .",1
58,"problem , preparing ? ? thing changing fast climate wise innovation wise . ai powered innovation , thing could speed multiple time . technology outdated 6 month .",1
59,"tired tech bros affiliate believing tech solve educational woe anything else . ai seem promise , many people sold school bill good pc revolution internet . none impact . look national test score . 've gone downhill advent technology even prior covid . meanwhile , actually know evidence based instruction educational research 'll know 've answer program vetted considerable government $ since 70 's . unfortunately , vested interest want equality education across socioeconomic line squashed thing . look project follow starter . type nonsense continues go day . sam tech bros leading u cliff term societal ill foster whole thing . frightening . absolutely frightening .",1
60,particularly worried ai could nearly much people blindly accepting answer spit out.🤔,1
61,imagine math already . step student explain,0
62,"came video watching khan testing math tutoring capability latest chat gpt 4o . 's incredible ai incapable . without doubt , used properly , tool nurture outstanding future generation capable generation never imagine . thinking leaf mixed feeling really .",1
63,khan helped finish math school youtube channel new . glad see 're going stronger ever advancing ai way help student .,1
64,"said : '' going give student planet every teacher ... '' khanmigo available africa , mean africa planet ?",0
65,"respect first part talk , problem see using ai per se . problem perhaps underlying idea goal school math education ( ) . making kid able solve problem , focusing product ( e.g . correct solution equation ) ? helping kid developing mathematical thinking ? example provided `` ai personal assistant '' point correct application rule ( distributing factor number inside parenthesis ) . however help uderstanding `` '' rule . would think good teacher help stundents understanding rule exists , working high level thinking skill , rather focusing ( ? ) ability remembering applying rule ... familiar khan academy maybe kind thinking developed part math programme ?",1
66,make ai college free,1
67,"really think efficiency advantage ai system like allow teacher free time able work closely student ? course . system really afford school district radically increase class size reduce number costly teacher . taxpayer overjoyed saving . plus , given ai 's geometric growth speed , ultimately , either wo n't need teacher , least people trained pedagogy teach child . ok , sound like rant luddite , anyone actually deny high probability actually happen ? course , sam khan , corporate owner , well new ai world .",1
68,"could embedded ai automatically tailor specific standard state associated common core ? virginia standard learning , developed brand new set standard 2024. question stem see question stem common core .",0
69,might email university,0
70,"ai tool completely devalue skilled labor . must prevented proliferating education . ai also incredibly potent way politically indoctrinate child . also , 's point learning anything end goal ai going take good job ? , voting electorate , never consulted ai 's development , never asked wanted technology government school .",1
71,"public school oasis making friend learning teamwork solution : free , quality education model , based first principle human connection ( digital ai tutor ! ) linked initiative channel , anyone want help u make neoducation reality",1
72,"high school teacher acted like mentally challenged wrote . man able help , video , high school teacher able 4 year . nothing wrong … hate literally unable learn classroom setting . much correct ai revolutionizing education . ’ 30 , trying education , using chatgpt along online learning tool accomplish thought never possible . learn pace find anything genuinely ’ comprehend , throw chatgpt ask explain much simpler term within minute , ’ clicking head .",1
73,every time see ai possibly evil like deapfakes thing like maybe n't doomed,1
74,never give ai free ; especially cause harm human . specialized ai ( sai ) way forward .,0
75,good ai replaces teacher eventually parent ! ! student work ! ! distraction ! ! written ai help ! !,1
76,"`` ai-enabled virtual classroom transcend physical barrier , offering access high-quality education student remote area region limited resource , thereby promoting inclusivity equity . '' `` ai-driven data analytics , educational institution gain valuable insight student engagement , performance , retention , enabling proactive intervention prevent dropout support at-risk student . '' `` ai-powered adaptive learning platform cater diverse need student , providing personalized pathway adapt real-time learner 's progress , strength , area improvement . '' `` implementation ai education enhance teacher professional development providing personalized coaching , resource , feedback tailored individual educator need teaching style . '' `` ai-driven virtual assistant support educator creating accessible inclusive learning material , ensuring content meet diverse student need , including disability language barrier . '' `` automating administrative task scheduling , grading , attendance tracking , ai free educator ' time focus meaningful interaction student , fostering deeper connection mentorship . '' `` ai-enabled chatbots provide student immediate access information resource , addressing query supporting self-directed learning outside traditional classroom hour . '' `` ai-powered recommendation system curate personalized learning pathway student , guiding towards educational resource , activity , opportunity aligned interest , goal , aspiration . '' `` ai-driven content creation tool , student become active participant learning process , producing multimedia project , presentation , simulation demonstrate understanding creativity . '' `` ai support language learning providing real-time feedback pronunciation , grammar , vocabulary usage , accelerating language acquisition fluency development interactive practice . '' `` ai-driven assessment tool offer holistic evaluation student performance , incorporating diverse measure knowledge , skill , competency beyond traditional standardized testing . '' `` integration ai education promote lifelong learning offering personalized professional development opportunity educator , empowering stay abreast emerging trend best practice . '' `` ai facilitate collaborative research knowledge sharing among educator researcher , enabling rapid dissemination innovative teaching methodology , pedagogical insight , evidence-based practice . '' `` ai-powered data analytics , educational institution optimize resource allocation budgeting , ensuring funding directed towards initiative greatest impact student learning outcome . '' `` ai-driven virtual reality experience provide student immersive simulation field trip , allowing explore historical event , scientific concept , cultural phenomenon dynamic engaging manner . '' `` ai-enabled tutoring system offer personalized support remediation struggling student , helping build confidence resilience work towards mastering challenging subject matter . '' `` ai support educator designing inclusive culturally responsive curriculum reflect diverse background , perspective , experience student , fostering sense belonging respect classroom . '' `` analyzing learning data , ai algorithm identify emerging trend gap curriculum , informing continuous improvement effort ensure educational content remains relevant , engaging , effective . '' `` ai empower student become active participant co-creation knowledge , fostering collaboration , critical thinking , problem-solving skill engage inquiry-based learning activity . '' `` ai-driven recommendation system connect student mentorship opportunity , internship , extracurricular activity align academic interest career goal , enriching educational experience . '' `` ai-powered natural language processing , student engage conversational learning experience , interacting virtual tutor peer discus debate complex topic real-time . '' `` ai support differentiated instruction offering adaptive learning pathway cater student ' unique learning need , pacing , preference , ensuring student receives support challenge require succeed . '' `` ai-driven educational game simulation foster active learning , experimentation , discovery , engaging student hands-on activity promote deeper understanding retention concept . '' `` integration ai education enhance parental engagement providing insight student progress , performance , learning goal , enabling parent support child 's academic journey effectively . '' `` ai facilitate interdisciplinary learning experience connecting student resource expert various field , encouraging explore connection application beyond traditional subject boundary . '' `` ai-powered virtual mentor provide student guidance support navigate academic career pathway , offering advice , encouragement , insight based individual interest aspiration . '' `` ai-driven natural language processing , student receive personalized feedback writing assignment , helping improve communication skill express idea effectively . '' `` ai support formative assessment practice offering real-time insight student learning progress , enabling educator adjust instruction intervention meet evolving student need preference . '' `` integration ai education promote global citizenship connecting student peer diverse cultural background perspective , fostering empathy , tolerance , cross-cultural understanding . '' `` ai support student disability providing adaptive learning resource assistive technology accommodate unique learning need , ensuring student access quality education . '' `` ai-driven content creation tool , student collaborate multimedia project integrate text , image , audio , video , allowing express creativity demonstrate understanding multiple format . '' `` ai support self-regulated learning providing student personalized goal-setting tool , progress tracker , reminder , empowering take ownership learning journey monitor academic growth . '' `` integration ai education promote metacognitive skill encouraging student reflect learning process , set learning goal , evaluate progress , fostering deeper understanding strength area improvement . '' `` ai-driven recommendation system connect student personalized learning resource , e-books , article , video , tutorial , catering individual interest , preference , learning style . '' `` ai-powered virtual lab , student engage hands-on experiment simulation , exploring scientific concept phenomenon safe controlled environment , regardless physical resource constraint . '' `` ai support project-based learning offering student access tool resource planning , organizing ,",1
77,"`` ai 's role education extends beyond classroom , facilitate lifelong learning offering personalized recommendation continued skill development professional growth . '' `` ai-powered educational platform adapt rapidly changing demand job market , equipping student relevant skill competency needed success emerging field . '' `` automating administrative task like scheduling grading , ai technology allows educator devote time building meaningful connection student fostering supportive learning environment . '' `` ai-driven analytics enable educator identify at-risk student early provide targeted intervention prevent academic disengagement dropout rate . '' `` integration ai education promote inclusivity offering translation service accessibility feature accommodate student diverse linguistic learning need . '' `` ai enhance teacher professional development analyzing teaching method student outcome , offering personalized recommendation improving instructional practice . '' `` ai-powered chatbots provide student on-demand support guidance , answering question offering resource supplement learning outside class hour . '' `` ai-driven virtual lab allow student conduct experiment simulation safe cost-effective manner , enhancing understanding scientific concept . '' `` ai help bridge gap theory practice connecting classroom learning real-world application , preparing student success future career . '' `` ai-powered recommendation system , educator curate customized learning pathway cater student 's interest , ability , aspiration . '' `` ai potential improve parental engagement education providing insight student progress offering recommendation supporting learning home . '' `` ai-driven content creation tool empower student express creativity demonstrate understanding concept multimedia project presentation . '' `` ai promote global collaboration education connecting student educator different part world , fostering cross-cultural understanding empathy . '' `` ai-powered adaptive learning platform address individual need gifted student offering advanced content challenge align ability . '' `` use ai education enhance academic integrity detecting plagiarism providing originality report student assignment . '' `` ai-driven tutoring system offer personalized remediation student struggling specific concept , helping catch succeed academically . '' `` ai enhance quality educational content analyzing feedback student educator , identifying area improvement , refining instructional material . '' `` ai-driven virtual field trip allow student explore historical site , natural wonder , cultural landmark around world , enriching learning experience . '' `` ai-powered speech recognition technology , student practice pronunciation fluency foreign language , improving language acquisition skill . '' `` ai potential address shortage qualified educator remote underserved area providing virtual teaching assistant instructional support . '' `` ai-driven recommendation system help student discover new interest passion suggesting relevant book , article , video , course . '' `` ai-powered adaptive assessment offer student immediate feedback performance , helping identify area weakness track progress time . '' `` ai support project-based learning initiative providing student tool resource research , collaboration , presentation . '' `` ai-driven content moderation tool create safer online learning environment detecting filtering inappropriate harmful content . '' `` integration ai education reduce barrier learning student disability providing assistive technology accommodation . '' `` ai-powered data analysis inform education policymakers stakeholder trend challenge education system , guiding strategic decision-making resource allocation . '' `` ai-driven adaptive learning platform offer personalized enrichment activity student mastered core curriculum , keeping engaged motivated . '' `` ai help identify gap curriculum suggest new topic learning resource ensure student receive comprehensive education . '' `` ai-powered educational game make learning enjoyable engaging student , motivating actively participate learning process . '' `` ai-driven virtual mentor provide student guidance support navigate academic career decision , helping set goal develop plan future . '' `` ai potential improve attendance tracking student monitoring , allowing educator identify pattern absenteeism intervene necessary . '' `` ai-driven language translation tool facilitate communication collaboration among student educator speak different language , promoting inclusivity diversity . '' `` ai-powered adaptive learning platform offer personalized study plan student preparing standardized test , helping achieve target score . '' `` ai enhance parental involvement education providing insight student progress offering recommendation supporting learning home . '' `` ai-driven content creation tool empower student express creativity demonstrate understanding concept multimedia project presentation . '' `` ai support project-based learning initiative providing student tool resource research , collaboration , presentation . '' `` ai-driven recommendation system help student discover new interest passion suggesting relevant book , article , video , course . '' `` ai-powered virtual field trip allow student explore historical site , natural wonder , cultural landmark around world , enriching learning experience . '' `` ai-powered speech recognition technology , student practice pronunciation fluency foreign language , improving language acquisition skill . '' `` ai potential address shortage qualified educator remote underserved area providing virtual teaching assistant instructional support . '' `` ai-driven recommendation system help student discover new interest passion suggesting relevant book , article , video , course . '' `` ai-powered adaptive assessment offer student immediate feedback performance , helping identify area weakness track progress time . '' `` ai support project-based learning initiative providing student tool resource research , collaboration , presentation . '' `` ai-driven content moderation tool create safer online learning environment detecting filtering inappropriate harmful content . '' `` integration ai education reduce barrier learning student disability providing assistive technology accommodation . '' `` ai-powered data analysis inform education policymakers stakeholder trend challenge education system , guiding strategic decision-making resource allocation . '' `` ai-driven adaptive learning platform offer personalized enrichment activity student mastered core curriculum , keeping engaged motivated . ''",1
78,"potential ai save education lie ability personalize learning experience , catering individual need learning style student , thereby fostering deeper understanding retention . '' `` ai could revolutionize assessment method offering adaptive testing , question dynamically adjust based student 's response , providing accurate insight knowledge proficiency . '' `` rather replacing teacher , ai serve valuable assistant , freeing educator administrative task offering data-driven insight inform instructional decision , ultimately enhancing quality teaching . '' `` aid ai-powered tutoring system , student receive instant feedback support , allowing address gap understanding real-time progress pace . '' `` ai hold promise democratizing education providing access high-quality learning resource personalized instruction student remote underserved area , bridging gap urban rural education . '' `` analyzing vast amount educational data , ai algorithm identify pattern trend student performance , enabling educator tailor intervention support service meet unique need learner . '' `` ai-driven content recommendation system expose student diverse perspective subject matter , fostering critical thinking skill encouraging exploration beyond confines traditional curriculum . '' `` integration ai education promote collaborative learning experience , enabling student engage virtual group project , discussion , peer-to-peer feedback session , regardless geographical location . '' `` ai-powered language learning application , student immerse interactive language experience , practicing speaking , listening , reading , writing skill authentic context . '' `` ai potential address educational inequality providing personalized intervention support student learning disability special educational need , ensuring student opportunity succeed . ''",1
79,"`` integration ai education present transformative opportunity rather threat , enhance learning experience student across diverse background ability . '' `` leveraging ai-powered personalized learning platform , educator cater individual student need , offering tailored content adaptive assessment foster deeper understanding subject matter . '' `` ai potential address longstanding challenge education , overcrowded classroom limited resource , providing scalable solution extend learning opportunity student . '' `` rather replacing teacher , ai technology serve valuable tool support educator , automating routine task like grading data analysis , thus allowing teacher focus best – inspiring guiding student . '' `` ai-driven analytics offer insight student performance learning pattern , empowering educator make data-informed decision optimize instructional strategy intervention . '' `` help ai tutor virtual assistant , student receive immediate feedback personalized guidance outside classroom , facilitating continuous learning skill development . '' `` ai-powered educational content , interactive simulation virtual reality experience , make learning engaging immersive , catering diverse learning style preference . '' `` ai-driven adaptive learning algorithm , student progress pace , receiving targeted support remediation precisely needed , thus reducing risk falling behind feeling overwhelmed . '' `` ai potential democratize access quality education breaking barrier learning , offering inclusive equitable opportunity student regardless geographical location socioeconomic status . '' `` harnessing ai educational purpose , institution foster collaboration knowledge sharing among student educator worldwide , creating global learning community transcends physical boundary . '' `` ai-driven educational tool empower student become active participant learning journey , encouraging curiosity , critical thinking , problem-solving skill essential success 21st century . '' `` rather standardized , one-size-fits-all approach , ai enables personalized learning experience tailored student 's unique strength , weakness , interest , fostering deeper meaningful engagement material . '' `` ai play crucial role addressing educational disparity providing targeted intervention support underserved community , thus narrowing achievement gap promoting educational equity . '' `` ai-powered adaptive assessment , educator gain comprehensive understanding student progress proficiency level , allowing timely intervention targeted instruction address learning gap . '' `` ai-driven chatbots virtual tutor provide student on-demand support guidance , answering question , offering explanation , facilitating self-directed learning outside traditional classroom hour . '' `` ai potential revolutionize teacher professional development , offering personalized training resource tailored individual educator need , thus enhancing teaching effectiveness job satisfaction . '' `` automating administrative task paperwork , ai technology free valuable time educator focus building meaningful connection student , fostering supportive enriching learning environment . '' `` ai-powered language learning application offer personalized language instruction , allowing student practice speaking , listening , reading , writing skill real-world context , thus accelerating language acquisition . '' `` ai-driven recommendation system , student discover relevant engaging educational content tailored interest learning goal , promoting self-directed lifelong learning habit . '' `` ai-powered virtual lab simulation provide student hands-on learning experience subject science , engineering , medicine , allowing explore complex concept safe interactive environment . '' `` ai potential address diverse need student disability special educational need , offering personalized accommodation support ensure equitable access learning opportunity . '' `` analyzing vast amount educational data , ai algorithm identify pattern trend inform curriculum development instructional design , leading effective evidence-based teaching practice . '' `` ai-driven language translation tool facilitate communication collaboration among student educator diverse linguistic background , fostering inclusive culturally responsive learning environment . '' `` ai-powered recommendation engine , educator curate personalized learning pathway student , guiding towards resource activity align interest , ability , career aspiration . '' `` ai-driven virtual mentor role model inspire student pursue passion aspiration , providing guidance , encouragement , support navigate educational career pathway . '' `` automating routine task grading attendance tracking , ai technology free valuable instructional time educator , allowing focus delivering engaging meaningful learning experience . '' `` ai-powered tutoring system provide student immediate feedback support , helping identify misconception , correct error , consolidate understanding challenging concept . '' `` ai-driven data analytics , educator gain insight student engagement motivation level , allowing design intervention strategy promote active learning academic success . '' `` ai-driven adaptive learning platform tailor instructional content activity student 's individual learning pace preference , ensuring remain challenged motivated achieve full potential . '' `` analyzing student performance data real-time , ai algorithm identify at-risk student may need additional support intervention , enabling educator provide timely assistance prevent academic disengagement . '' `` ai-powered content recommendation system expose student diverse perspective , viewpoint , culture , fostering empathy , tolerance , global citizenship classroom . '' `` ai-driven natural language processing algorithm , educator gain insight student comprehension language proficiency level , enabling design differentiated instruction meet diverse learner need . '' `` ai-driven speech recognition technology provide student opportunity practice refine oral communication skill , facilitating language acquisition fluency development supportive interactive learning environment . '' `` automating administrative task scheduling resource allocation , ai technology free time resource educator focus building meaningful relationship connection student . '' `` ai-driven educational game simulation provide student immersive interactive learning experience , promoting inquiry-based learning , problem-solving skill , critical thinking ability . '' `` ai-powered adaptive assessment , educator gain insight student learning trajectory progress time , allowing accurate targeted instructional planning intervention . '' `` ai-driven content creation tool empower student become creator knowledge , enabling express creatively share idea global audience . '' `` analyzing student engagement data , ai algorithm identify pattern trend inform instructional design delivery , leading personalized effective learning experience student . '' `` ai-driven virtual reality experience transport student immersive interactive learning environment , allowing explore complex concept phenomenon hands-on experiential manner . '' `` ai-powered recommendation engine , educator curate personalized learning playlist student , guiding towards resource activity align interest , goal , learning style . '' `` ai-driven tutoring system provide student immediate feedback support , helping identify area strength weakness , set learning goal , track progress time . ''",1
80,lost said 2 sigma problem,0
81,plea someone help ai,1
82,another load ai hype bullshit : ),0
83,"well , explain 100 way . 1000 reason ai good 1000 reason ai bad .",1
84,"ai progression current technology advancement combine engineering computer application assist human function movement thought . like scientific invention maybe initial intention help mankind maybe hidden bigger agenda reveal eventually like current technology , become slave invention many misused cause harm human . therefore , wrong conclude ai someday . control maybe want control maybe unable control misuse initial intention . ai may mean less human .",1
85,"great opportunity use ai best way . chatgpt popular , teacher , instructor tutor trying restrict student using ’ solve problem . student able come new way caught . instead avoiding ai , teacher promote student use way helpful learning . time barely possible avoid using ai tool . feel khanamigo useful “ dangerous ” time . one way help teacher student , another way push back profession teaching . become threat people working field education . careful .",1
86,"really appreciated third way approach advocated end . teacher , 've concern ai ( caught ai-generated essay ) , also n't want allow fear way ai abused make closed potential benefit . ai becoming part world whether like , , like tool , ensure used wisely ethically -- especially educator -- teach student . think khan academy seems like great way show kid ai used way n't thinking , rather help become better thinker learner .",1
87,lmao 's point learning math coding ai better u get better point onwards,1
88,"believe talk underestimate value/capabilities human tutor ( v machine ) suggesting machine basically take entire role tutor . also fails foresee negative story : machine tutor false/incorrect info also say inappropriate thing kid . otoh , use case suggests may somewhat near-term . right balance process strike . kind hype might hurt help creating necessarily careful process .",1
89,plan khanmigo availible europe/eu/eec ?,0
90,"let 's let genius build ai , let 's focus creative using correctly , electronics , many study understand base waste time , others go directly use become millionaire .",1
91,"ca n't believe great ! recently read similar book , absolutely incredible . `` game theory pursuit algorithmic fairness '' jack frostwell",0
92,"however , 's reality . student would sit another ai feed answer ai .",0
93,"🎯 key takeaway quick navigation : identifies student * error misconception math programming . * provides immediate , * context-aware help various subject . * connects learning * real-life interest foster deeper understanding . * act * guidance counselor , coach , mentor . * allows student * interact fictional character historical figure . * enables debate * various topic writing collaboration . * provides feedback * draft , highlight relevant passage , prompt reflection . * us socratic * questioning text analysis deepen understanding . * offer lesson * plan , answer explanation , progress report . * automates administrative * task free time student interaction . * requires careful * design adaptation effective learning experience . * active participation * crucial shape positive future ai education . * ai * powerful tool enhance human intelligence potential . * made harpa ai",1
94,"🎯 key takeaway quick navigation : 00:06 💡 * human differentiate task life mission , ai system currently lack nuanced understanding . * 01:02 🌊 * specifying fixed objective ai lead unintended consequence , highlighting complexity managing ai system . * 02:28 🤖 * aristotle foresaw technological unemployment , concept relevant today automation impact various industry . * 03:54 🔍 * increased automation industry like e-commerce warehousing raise question job displacement societal reliance machine . * 04:52 📚 * importance human understanding education managing ai 's impact society crucial prevent loss knowledge transmission . * made harpa ai",1
95,"absolutely love enthusiasm passion , debating ai going lead u path extremely dangerous . end day ai programmed . ’ going teach programmed . much unlike human , innate position skeptical human . ai trying appear unbiased entity . therefore easily persuading . ai hand wrong people use persuade people side fence unwittingly .",1
96,"khan academy helped brush math prepare aptitude test , 's useful tool . ai imagine 's much useful , $ 4 month 's incredibly affordable . exciting time !",1
97,"think switch hand work . math done bot handwork still take lot time program . much complex people think lot less competition since time people strived go college . hand work future work human theoretical done creative ai , zuckerberg researching intuitive ai .",1
